TimeStamp	GazePointXLeft	GazePointYLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	PupilRight	ValidityRight	GazePointX	GazePointY
0.0	0.0022	-0.0436	4.5308	1	0.0310	-0.0297	4.1626	1	0.0166	-0.0367
3.4	nan	nan	nan	0	nan	nan	nan	0	nan	nan
6.7	nan	nan	nan	0	nan	nan	nan	0	nan	nan
10.0	nan	nan	nan	0	0.0354	-0.0313	4.1560	1	0.0354	-0.0313
13.3	nan	nan	nan	0	0.0351	-0.0240	4.1371	1	0.0351	-0.0240
16.7	nan	nan	nan	0	0.0384	-0.0261	4.1423	1	0.0384	-0.0261
20.0	nan	nan	nan	0	0.0372	-0.0229	4.1372	1	0.0372	-0.0229
23.4	nan	nan	nan	0	0.0376	-0.0248	4.1377	1	0.0376	-0.0248
26.6	0.0027	-0.0472	4.4953	1	0.0392	-0.0250	4.1450	1	0.0209	-0.0361
30.0	0.0008	-0.0482	4.4901	1	0.0362	-0.0248	4.1498	1	0.0185	-0.0365
33.4	0.0017	-0.0452	4.4822	1	0.0393	-0.0205	4.1377	1	0.0205	-0.0328
36.7	0.0020	-0.0451	4.4795	1	0.0406	-0.0254	4.1487	1	0.0213	-0.0353
40.0	0.0018	-0.0444	4.4690	1	0.0382	-0.0198	4.1372	1	0.0200	-0.0321
43.3	0.0026	-0.0451	4.4754	1	0.0395	-0.0269	4.1484	1	0.0211	-0.0360
46.7	0.0014	-0.0442	4.4674	1	0.0423	-0.0203	4.1414	1	0.0218	-0.0322
50.0	0.0013	-0.0452	4.4794	1	0.0387	-0.0171	4.1648	1	0.0200	-0.0311
53.3	0.0007	-0.0427	4.4758	1	0.0342	-0.0162	4.1644	1	0.0175	-0.0295
56.6	0.0009	-0.0408	4.4738	1	0.0385	-0.0164	4.1632	1	0.0197	-0.0286
60.0	-0.0005	-0.0353	4.4608	1	0.0370	-0.0160	4.1633	1	0.0183	-0.0256
63.4	0.0002	-0.0386	4.4635	1	0.0416	-0.0081	4.1465	1	0.0209	-0.0234
66.6	-0.0002	-0.0404	4.4796	1	0.0428	-0.0169	4.1604	1	0.0213	-0.0287
70.0	0.0014	-0.0362	4.4656	1	0.0387	-0.0144	4.1594	1	0.0200	-0.0253
73.3	-0.0002	-0.0423	4.4788	1	0.0417	-0.0152	4.1667	1	0.0208	-0.0287
76.7	-0.0008	-0.0399	4.4695	1	0.0417	-0.0160	4.1699	1	0.0205	-0.0279
80.0	-0.0028	-0.0394	4.4676	1	0.0406	-0.0141	4.1781	1	0.0189	-0.0268
83.3	0.0001	-0.0421	4.4705	1	0.0384	-0.0197	4.1604	1	0.0193	-0.0309
86.7	0.0001	-0.0413	4.4735	1	0.0375	-0.0196	4.2010	1	0.0188	-0.0305
90.0	-0.0001	-0.0416	4.4692	1	0.0356	-0.0225	4.1817	1	0.0177	-0.0321
93.4	0.0003	-0.0378	4.4688	1	0.0396	-0.0157	4.1485	1	0.0199	-0.0267
96.7	-0.0021	-0.0343	4.4675	1	0.0405	-0.0125	4.1362	1	0.0192	-0.0234
100.0	-0.0020	-0.0349	4.4679	1	0.0356	-0.0156	4.1533	1	0.0168	-0.0252
103.3	-0.0073	-0.0376	4.4678	1	0.0325	-0.0071	4.1355	1	0.0126	-0.0223
106.7	-0.0134	-0.0304	4.4681	1	0.0220	-0.0144	4.1749	1	0.0043	-0.0224
110.0	-0.0198	-0.0257	4.4640	1	0.0188	0.0034	4.1465	1	-0.0005	-0.0112
113.3	-0.0218	-0.0256	4.4551	1	0.0119	-0.0023	4.1696	1	-0.0049	-0.0139
116.7	-0.0196	-0.0249	4.4527	1	0.0192	-0.0007	4.1516	1	-0.0002	-0.0128
120.0	-0.0179	-0.0249	4.4432	1	0.0220	-0.0013	4.1560	1	0.0020	-0.0131
123.3	-0.0166	-0.0289	4.4656	1	0.0214	0.0041	4.1390	1	0.0024	-0.0124
126.6	-0.0185	-0.0266	4.4622	1	0.0199	0.0004	4.1352	1	0.0007	-0.0131
130.0	-0.0173	-0.0270	4.4581	1	0.0214	0.0005	4.1418	1	0.0021	-0.0132
133.4	-0.0145	-0.0293	4.4498	1	0.0231	0.0027	4.1405	1	0.0043	-0.0133
136.6	-0.0151	-0.0267	4.4530	1	0.0228	0.0083	4.1268	1	0.0038	-0.0092
140.0	-0.0179	-0.0272	4.4518	1	0.0229	0.0211	4.0996	1	0.0025	-0.0031
143.3	-0.0185	-0.0248	4.4582	1	0.0251	0.0196	4.1022	1	0.0033	-0.0026
146.7	-0.0178	-0.0252	4.4564	1	0.0244	0.0138	4.1228	1	0.0033	-0.0057
149.9	-0.0166	-0.0225	4.4468	1	0.0269	0.0200	4.1022	1	0.0052	-0.0013
153.3	-0.0168	-0.0301	4.4616	1	0.0250	0.0130	4.1404	1	0.0041	-0.0085
156.6	-0.0161	-0.0255	4.4669	1	0.0256	0.0233	4.1326	1	0.0048	-0.0011
160.0	-0.0141	-0.0252	4.4607	1	0.0249	0.0177	4.1459	1	0.0054	-0.0037
163.4	-0.0167	-0.0235	4.4673	1	0.0253	0.0207	4.1385	1	0.0043	-0.0014
166.6	-0.0148	-0.0226	4.4501	1	0.0298	0.0221	4.1339	1	0.0075	-0.0003
170.0	-0.0143	-0.0252	4.4628	1	0.0284	0.0138	4.1626	1	0.0070	-0.0057
173.3	-0.0126	-0.0239	4.4557	1	0.0292	0.0128	4.1603	1	0.0083	-0.0055
176.7	-0.0115	-0.0187	4.4444	1	0.0306	0.0112	4.1704	1	0.0096	-0.0038
180.0	-0.0130	-0.0235	4.4646	1	0.0317	0.0057	4.1762	1	0.0093	-0.0089
183.3	-0.0135	-0.0219	4.4493	1	0.0260	0.0191	4.1248	1	0.0062	-0.0014
186.7	-0.0125	-0.0199	4.4538	1	0.0314	0.0145	4.1386	1	0.0094	-0.0027
190.0	-0.0153	-0.0210	4.4617	1	0.0264	0.0170	4.1261	1	0.0055	-0.0020
193.3	-0.0155	-0.0231	4.4618	1	0.0275	0.0114	4.1165	1	0.0060	-0.0059
196.6	-0.0131	-0.0212	4.4612	1	0.0239	0.0138	4.1417	1	0.0054	-0.0037
200.0	-0.0143	-0.0180	4.4573	1	0.0258	0.0174	4.1293	1	0.0058	-0.0003
203.3	-0.0161	-0.0205	4.4657	1	0.0267	0.0150	4.1338	1	0.0053	-0.0027
206.7	-0.0123	-0.0166	4.4393	1	0.0278	0.0162	4.1344	1	0.0077	-0.0002
210.0	-0.0163	-0.0184	4.4627	1	0.0280	0.0094	4.1581	1	0.0058	-0.0045
213.3	-0.0164	-0.0152	4.4486	1	0.0258	0.0159	4.1344	1	0.0047	0.0003
216.7	-0.0161	-0.0157	4.4527	1	0.0275	0.0198	4.1422	1	0.0057	0.0021
220.0	-0.0147	-0.0152	4.4518	1	0.0261	0.0144	4.1408	1	0.0057	-0.0004
223.3	-0.0142	-0.0163	4.4454	1	0.0252	0.0147	4.1468	1	0.0055	-0.0008
226.6	-0.0114	-0.0184	4.4529	1	0.0313	0.0193	4.1361	1	0.0099	0.0005
230.0	-0.0151	-0.0174	4.4558	1	0.0291	0.0139	4.1274	1	0.0070	-0.0017
233.4	-0.0151	-0.0198	4.4668	1	0.0301	0.0184	4.1221	1	0.0075	-0.0007
236.6	-0.0091	-0.0185	4.4570	1	0.0353	0.0227	4.1342	1	0.0131	0.0021
240.0	0.0030	-0.0146	4.4485	1	0.0533	0.0164	4.1446	1	0.0282	0.0009
243.3	0.0252	-0.0174	4.4471	1	0.0859	0.0083	4.1498	1	0.0556	-0.0046
246.7	0.0458	-0.0115	4.4416	1	0.1171	-0.0016	4.1774	1	0.0815	-0.0065
249.9	0.0752	-0.0116	4.4670	1	0.1484	0.0066	4.1817	1	0.1118	-0.0025
253.3	0.0908	0.0017	4.4569	1	0.1696	0.0095	4.1646	1	0.1302	0.0056
256.6	0.1144	0.0046	4.4551	1	0.1947	0.0223	4.1584	1	0.1545	0.0135
260.0	0.1319	0.0087	4.4582	1	0.2074	0.0123	4.1316	1	0.1697	0.0105
263.3	0.1517	0.0097	4.4633	1	0.2263	0.0311	4.1093	1	0.1890	0.0204
266.6	0.1717	0.0089	4.4685	1	0.2503	0.0418	4.1237	1	0.2110	0.0253
270.0	0.1913	0.0097	4.4492	1	0.2610	0.0208	4.1313	1	0.2261	0.0152
273.3	0.2099	0.0098	4.4683	1	0.2804	0.0291	4.1115	1	0.2452	0.0195
276.7	0.2248	0.0103	4.4601	1	0.2888	0.0264	4.1181	1	0.2568	0.0183
279.9	0.2295	0.0134	4.4433	1	0.2906	0.0334	4.1277	1	0.2601	0.0234
283.3	0.2297	0.0148	4.4521	1	0.2839	0.0399	4.1174	1	0.2568	0.0273
286.7	0.2260	0.0180	4.4447	1	0.2755	0.0256	4.1439	1	0.2507	0.0218
290.0	0.2209	0.0148	4.4458	1	0.2722	0.0348	4.1269	1	0.2465	0.0248
293.3	0.2227	0.0193	4.4491	1	0.2756	0.0296	4.1339	1	0.2492	0.0244
296.6	0.2241	0.0185	4.4426	1	0.2786	0.0311	4.1198	1	0.2513	0.0248
300.0	0.2273	0.0163	4.4467	1	0.2790	0.0245	4.1467	1	0.2532	0.0204
303.4	0.2285	0.0163	4.4416	1	0.2792	0.0246	4.1422	1	0.2538	0.0204
306.6	0.2283	0.0127	4.4566	1	0.2795	0.0171	4.1692	1	0.2539	0.0149
310.0	0.2286	0.0142	4.4457	1	0.2826	0.0208	4.1529	1	0.2556	0.0175
313.3	0.2303	0.0182	4.4460	1	0.2774	0.0175	4.1327	1	0.2539	0.0178
316.7	0.2324	0.0133	4.4500	1	0.2764	0.0162	4.1392	1	0.2544	0.0148
320.0	0.2294	0.0121	4.4571	1	0.2777	0.0069	4.1095	1	0.2536	0.0095
323.3	0.2322	0.0165	4.4411	1	0.2781	0.0171	4.0884	1	0.2551	0.0168
326.6	0.2314	0.0145	4.4376	1	0.2797	0.0184	4.0873	1	0.2556	0.0165
330.0	0.2296	0.0109	4.4482	1	0.2763	0.0091	4.1175	1	0.2530	0.0100
333.3	0.2313	0.0139	4.4405	1	0.2745	0.0161	4.1344	1	0.2529	0.0150
336.6	0.2323	0.0123	4.4466	1	0.2787	0.0299	4.0931	1	0.2555	0.0211
340.0	0.2312	0.0137	4.4485	1	0.2787	0.0181	4.1491	1	0.2550	0.0159
343.3	0.2322	0.0138	4.4385	1	0.2765	0.0139	4.1452	1	0.2544	0.0139
346.6	0.2322	0.0120	4.4338	1	0.2790	0.0210	4.1327	1	0.2556	0.0165
349.9	0.2306	0.0098	4.4473	1	0.2807	0.0269	4.1137	1	0.2556	0.0183
353.3	0.2326	0.0138	4.4377	1	0.2794	0.0288	4.0998	1	0.2560	0.0213
356.7	0.2317	0.0094	4.4489	1	0.2795	0.0209	4.1331	1	0.2556	0.0151
360.0	0.2349	0.0135	4.4355	1	0.2793	0.0178	4.1353	1	0.2571	0.0157
363.3	0.2332	0.0121	4.4378	1	0.2820	0.0339	4.1149	1	0.2576	0.0230
366.6	0.2346	0.0202	4.4280	1	0.2822	0.0266	4.1451	1	0.2584	0.0234
370.0	0.2345	0.0141	4.4409	1	0.2793	0.0272	4.1559	1	0.2569	0.0207
373.4	0.2355	0.0140	4.4402	1	0.2826	0.0369	4.1130	1	0.2591	0.0255
376.6	0.2333	0.0110	4.4402	1	0.2816	0.0248	4.1498	1	0.2574	0.0179
380.0	0.2350	0.0148	4.4306	1	0.2808	0.0327	4.1272	1	0.2579	0.0237
383.3	0.2343	0.0150	4.4378	1	0.2844	0.0386	4.1022	1	0.2593	0.0268
386.7	0.2353	0.0176	4.4174	1	0.2796	0.0267	4.1389	1	0.2575	0.0222
389.9	0.2366	0.0113	4.4401	1	0.2835	0.0235	4.1404	1	0.2600	0.0174
393.3	0.2385	0.0156	4.4265	1	0.2834	0.0255	4.1385	1	0.2609	0.0206
396.6	0.2392	0.0148	4.4278	1	0.2839	0.0245	4.1433	1	0.2615	0.0197
400.0	0.2377	0.0171	4.4174	1	0.2868	0.0366	4.1178	1	0.2622	0.0269
403.3	0.2379	0.0164	4.4166	1	0.2867	0.0369	4.1041	1	0.2623	0.0267
406.6	0.2359	0.0077	4.4388	1	0.2858	0.0358	4.1011	1	0.2608	0.0218
410.0	0.2367	0.0111	4.4285	1	0.2853	0.0255	4.1251	1	0.2610	0.0183
413.3	0.2375	0.0105	4.4387	1	0.2841	0.0216	4.1401	1	0.2608	0.0160
416.6	0.2381	0.0132	4.4217	1	0.2866	0.0330	4.1022	1	0.2623	0.0231
419.9	0.2357	0.0127	4.4204	1	0.2873	0.0355	4.0865	1	0.2615	0.0241
423.3	0.2368	0.0137	4.4133	1	0.2856	0.0246	4.1294	1	0.2612	0.0192
